columns,sample,human_detected,csv_detected,id
Voie,"['Place Viarme', 'Rue Sarrazin', 'Rue du Progrès', ""Rue du 65ième Régiment d'Infanterie"", 'Rue Pitre Chevalier', 'Quai Hoche', 'Place Waldeck Rousseau', 'Place François II', ""Rue d'Iéna"", 'Rue Alexandre Dumas']",adresse,adresse,f8a86191-5273-4c17-8085-fd53a6dbb694
Quatrième ligne de l’adressage de l’établissement,"['261 B AVENUE ROGER SALENGRO', '128 RUE DE BLANCHEMAILLE', '139 RUE DES ARTS', '24 AV GUSTAVE DELORY', '86 RUE DU GRAND CHEMIN', '82 RUE LALANDE', '74 AVENUE D ALSACE', '30 BD DU GENERAL LECLERC', '58 RUE DAMMARTIN', 'RUE JEAN MOULIN']",adresse,adresse,faeb8460-fc33-4033-88f0-756a2e96bcb8
libelle,"['RUE CAUSSADE', 'CHEMIN DE BITET', 'RUE ARSENE D ARSONVAL', 'RUE DE LA CHAMPAGNE', 'RUE DE DOMREMY', 'IMPASSE EDOUARD HERRIOT', 'RUE D ODEILLO', 'RUE HELENE BOUCHER', 'IMPASSE DE LA FLAMBERE', 'ALLEE JACQUELINE DE ROMILLY']",adresse,adresse,27e679b8-749d-4d7d-8ac4-665eed51b605
Adresse,"['128 RUE DE LA VIGNE', '60 RUE DAUBENTON', '64 RUE DU MARECHAL FOCH', '44 GRANDE RUE', '68 RUE DE L EPEULE', '132 GRANDE RUE', '44 MAIL LANNOY', '44 MAIL LANNOY', '26 PLACE DE LA LIBERTE', '187 RUE DE LILLE']",adresse,adresse,a0156963-993f-4f7d-8bfa-e91204a950e3
Référence du dossier,"[""ANGLE RUE CHEVENAT ET RUE DE L'HOTEL DIEU"", '3-13 BOULEVARD MARCEL PAUL', 'ZAC DE LA MONTJOIE, AVENUE G SAND, ILOT 3ED', '11 RUE DESIRE CHARTON (lots 1, 3 et 106)', '21 BIS/23 RUE PAJOL', 'ZAC DES CORDONNIERS', ""ZAC DE L'AULNOY - RUE HENRI ROL TANGUY"", ""ZAC DU PORT, RUE DE L'ANCIEN CANAL"", 'QUARTIER DAME BLANCHE NORD - RUE NOYER DES BELLES FILLES', 'ANGLE DES RUES PERI, BENSERADE ET BONNOT']",adresse,adresse,e9b018ac-90d6-4cfe-833d-c2b68b77ede5
ADR_LIBVOI,"['PLACE HERAULT', 'RUE DES ORMEAUX', 'RUE AUGUSTE BLANDEAU', 'RUE DE BRUXELLES', 'RUE LEON BLUM', 'RUE CHEVREUL', 'RUE DE LA MADELEINE', 'RUE DU BOURG LA CROIX', 'RUE DE LA MEIGNANNE', 'AVENUE NOTRE DAME DU LAC']",adresse,adresse,daea17b0-d2a5-42ab-aa21-83d5fc69a6a3
"""Adresse""","['46 rue du Professeur Roux', '2 allée des Barbanniers', 'LE CHAILLOU', '63 RUE DE LA GARENNE', 'Parc Edonia - Bâtiment G', '25 rue du 13eme de Ligne', ""21 route d'Albert"", 'PARC ST FIACRE', '20 rue de Dakar', '67 rue Ernest Sauvestre']",adresse,adresse,218cdd5b-c6f4-4c0d-8b94-5cebcaf50709
NOM_VOIE,"['Lorraine (rue de)', 'Frédéric Mistral (square)', 'Magenta (boulevard)', 'Courtines (rue des)', 'Jean Marin (rue)', 'Dauphiné (square du)', 'Louis Hémon (rue)', 'Camille Pelletan (rue)', 'Vistule (avenue de la)', 'Mairie (place de la)']",adresse,adresse,5f85d42f-3aac-4fe3-a0e8-bcb0ec0be37f
Adresse,"['12 rue d’Oran', '20 Rue Rouget de Lisle', '6 Avenue Montrichard', '77 Rue des Cités', '1 rue du Pont de Boigny', '31 Rue Henri Kleynhoff', '30 rue de Genève', '5 Rue du Plateau', '1 Impasse de la Renardière', '23 Bis Rue Chassagnolle']",adresse,adresse,78814879-3be8-4200-90f2-d370eca1dc35
COMP_LOC,"['Entre Rue Edouard Manet et la Rue Banès', ""Jardin de l'Hôtel de Ville"", 'Parc Saint Jean-Paul II', 'entre les rues Henri Martin et Jean Jaurès', ""Entre la rue de Silly et l'avenue André Morizet"", 'Entre la rue Claude Dalsème et la rue du Ponceau', 'Entre les rues des Grimettes et de la Belgique', 'Parc des Glacières', 'Entre la route des Gardes et la rue de la Tour', ""Entre la rue du Bas et l'avenue Charles De Gaulle""]",adresse,adresse,a24c114d-86ba-40bd-81ad-e6adefb61ed7
L_LONGMIN,"['Square Delambre', 'Rue de Gribeauval', 'Rue Auguste Perret', 'Pont de Grenelle-Cadets de Saumur', 'Boulevard Raspail', 'Place des Deux Ecus', 'Passage Hulot', 'Rue Léon Vaudoyer', 'Place du Vingt-Cinq Août 1944', 'Allée de Longchamp']",adresse,adresse,ddf4ab2c-7c31-45f2-96ca-49acf794bd71
ADRESSE,"['18 RUE DU FAUBOURG BONNEFOY', '49 CHEMIN MICHOUN', '20 B PLACE MARIUS PINEL', '20 RUE LUCIEN CASSAGNE', '133 RUE LOUIS PLANA', '23 RUE EUGENE VIOLLET LE DUC', '36 RUE DE LA JEUNESSE', '123 ALLEE DE BRIENNE', '2 RUE D ARTAGNAN', '101 GRANDE RUE ST MICHEL']",adresse,adresse,7d87912d-8240-497a-ad38-9b59879f7749
Avec terminal CB,"['True', 'True', 'True', 'True', 'True', 'True', 'True', 'True', 'True', 'True']",adresse,adresse,ae03b521-ebb8-4bae-8468-73980ebaaa9b
Parcelle/ adresse,"['Chaussée Jules César', ""11 Rue de l'Abbé Léonard"", 'Allée Weiller', ""Cimetière / Rue de l'Escalier"", '50 Rue de la friche', ""8 Rue de l'Eglise"", '2 Rue Paul Doumer', '14 et 2 Chemin du Réal et des Cotes Bizières', '49 Rue de Montgeroult', 'Relie la commune à Pontoise, Paris d’un côté et à Gisors et Dieppe de l’autre']",adresse,adresse,ce043f80-d40e-4859-bd9b-6bf00b6b6321
Adresse,"['AVENUE DE LA LIBERTE', 'AVENUE DU MARECHAL JUIN', '6 AVENUE LE ROY DES BARRES', 'RUE DE PROVENCE', 'RUE DE LA MARE AU DIABLE', '1 RUE DOMBASLE', '205 RUE DE BREMENT', '9 RUE LOUIS MASSIGNON', '52 RUE ROBERT SCHUMAN', '10 RUE HENRI WALLON']",adresse,adresse,e3f5c97f-ab8c-42e8-9d48-fa3425f90762
RUE,"['Rue Brémontier', ""Rue des Goélands, Res La Plage, Park l'estacade  "", 'Rue des Goélands', 'bd du Front de Mer', '71 boulevard de la Mer ', 'Plage de Parlementia', 'Place du Port Vieux', 'Route de Biscarrosse', 'Route de Biscarrosse', '8 passage Latuille']",adresse,adresse,d3aeeea2-e288-49e3-86b3-99aa9773dec9
Adresse de l'équipement,"['1 boulevard Rodin', '18 rue Aristide Briand', '1 boulevard Rodin', '2 rue du Bateau Lavoir', 'Esplanade Raoul Follereau', '1 boulevard Rodin', '2 rue du Bateau Lavoir', '1 boulevard Rodin', '2 rue du Bateau Lavoir', '1 boulevard Rodin']",adresse,adresse,9c2dd2fb-bff7-4f17-9166-6405271a2008
TYPE DE VOIE,"['rue', 'voie', 'boulevard', 'place', 'voie', 'esplanade', 'rue', 'rue', 'place', 'allée']",adresse,adresse,86f7b173-1e1d-4376-badc-adb808854415
adresse,"['1 Rue Lazare Carnot', 'ND', '1 Place Joseph Pomel', '3 Rue Francine Deporte', '4 Place François Mitterrand', '5 Rue Henri Dunant', 'ND', '12 Rue Jean-Baptiste Colbert', 'ND', '50 Cours Louis de Chazelles']",adresse,adresse,08414051-0178-47a4-aab6-61ac1c2ad52b
indic_valid,"['True', 'True', 'True', 'True', 'True', 'True', 'True', 'True', 'True', 'True']",adresse,adresse,d037bdc4-cdbe-4d80-a47f-b54b7922f3b6
Engagement 8,"[""NOTION 1 : NUISANCES ET POLLUTIONS\n1/ La prise en compte de l'état sanitaire du site a résulté de la réalisation d'un certain nombre d'études et de diagnostics qui ont été conduits sur le site d'Unive"", '► En premier lieu, la conception du plan masse devait être justifiée au regard de plusieurs cibles HQE, dont les suivantes :\n- cible n°1 (relation harmonieuse et intégration paysagère = cadre de vie a', 'NOTION 1 : NUISANCES ET POLLUTIONS\n\n1)\tComment votre EcoQuartier prend-il en compte l’état sanitaire du site, les nuisances identifiées (qualité de l’air, bruit, pollution des sols, champs électromagn', ""une étude ESSP (étude de sûreté et sécurité publique) a été menée. Les préconisations émises vont être intégrées dans la conception des opérations et des aménagements d'espaces publics."", 'NUISANCES ET POLLUTIONS\nLes études en cours ou réalisées sur le sujet des nuisances :\n-\tEtude pollution en cours. \n-\tEtude Emission des gaz à effet de Serre réalisé en 2009. \n-\tDiagnostic acoustique e', 'NOTION 1 : NUISANCES ET POLLUTIONS\n\n1) Les différentes contraintes affectant le site, identifiées dans les deux études d’impacts sont :\n•1-Risques d’inondation par ruissellement \n•2-Sols et nappe phré', 'NOTION 1 : NUISANCES ET POLLUTION\n1 et 2) Les cahiers de prescriptions, impose des objectifs ambitieux afin de limiter l’impact sur la santé des usagers des nuisances et pollutions :\n- L’implantation ', ""NUISANCES ET POLLUTION\n\nLe périmètre de la ZAC englobait à la fois des zones d'habitat collectif et individuel mais également des zones d'activités artisanales : garages, menuiseries...Ces activités s"", '- Des mesures relatives à la sécurité et à la sureté sur le territoire du projet, situé au sein d’un Quartier Politique de la Ville, ont été  réalisées.\nLe projet d’esplanade a ainsi pris en compte la', 'Si la localisation de l’Ancre de lune est idéale, en Centre Ville, à moins de 5 minutes de la gare SNCF et de toutes les commodités de la commune, il est essentiel de s’assurer très en amont, que ce p']",adresse,adresse,f9706936-eb9b-4449-9a37-44790e723cf7
address,"['36 Cours Victor Hugo, 33130 Bègles, France', '353 Avenue du Maréchal de Lattre de Tassigny, 33200 Bordeaux, France', '1 Avenue Thiers, 33100 Bordeaux, France', ""26 Cours de l'Yser, 33800 Bordeaux, France"", '49 Centre Commercial Montesquieu, 33700 Mérignac, France', '164 Rue Fondaudège, 33000 Bordeaux, France', '9-19 Rue Duffour Dubergier, 33000 Bordeaux, France', '79 Rue Léon Gambetta, 33130 Bègles, France', '1-9 Rue des Augustins, 33000 Bordeaux, France', '11 Rue de Bethmann, 33600 Pessac, France']",adresse,adresse,ddfee503-6ad6-432d-a664-744b21c2fac7
Adresse 2,"['26 rue du Docteur Le Savoureux', '26 rue du Docteur Le Savoureux']",adresse,adresse,891ef866-d11f-4d48-afc8-b8b3f2c3e126
Adresse,"['rue Jean Bleuzen', 'rue Raymond Marcheron', 'rue du Docteur Mailfaire', 'place du Président Kennedy', 'rue Jean Jaurès', 'rue Mary Besseyre', 'avenue de Verdun', 'rue Jean Bleuzen', 'rue Jean Bleuzen']",adresse,adresse,42194fb6-e3f0-4c8a-9692-39fab9986e21
ADRESSE,"['7 rue Sainte-Anne', '9 RUE DE CASTELLANE', '7 rue demetz', '21/23 AVENUE DE LA PORTE DE CHATILLON', '6 rue du bas marin', '11 RUE CLAUDE TERRASSE', '9 rue Viala', '178 boulevard Vincent Auriol', '82 RUE SAINT CHARLES', '62 RUE DES MATHURiNS']",adresse,adresse,a4532ba6-9a0e-46ef-8244-f296811af81e
