columns,sample,human_detected,csv_detected,id
REG,"""[32, 1, 2, 3, 4, 6, 75, 44, 76, 11]""",code_region,code_region,03c24270-75ac-4a06-9648-44b6b5a5e0f7
DEP,"""[42, 17, 50, 51, 94, 33, 52, 92, 48, 05]""",code_departement,,03c24270-75ac-4a06-9648-44b6b5a5e0f7
COMM,"""[53014, 84072, 17323, 33243, 23193, 35288, 83034, 38239, 76108, 31037]""",code_commune_insee,code_commune_insee,03c24270-75ac-4a06-9648-44b6b5a5e0f7
ANNEE_DEPOT,"""[2016, 2017, 2018, 2010, 2012, 2014, 2015]""",year,year,03c24270-75ac-4a06-9648-44b6b5a5e0f7
ID_PC,"""[03419818M0018, 0282291800012, 07405318B0008, 0955001800022, 05626017Y0356, 05772218M0001, 03105618C0016, 05314017K1028, 00108418D0006, 03103318G0037]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7
CAT_MOA,"""[32, 41, 10, 43, 42, 80, 20, 21, 22, 90]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7
TYPE_MOA,"""[2]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7
RS_D,"""[SCI FLOBERT, Com d Agglo Saint-Dizier Der B, SCI LOUMA, Societe Civile Immobiliere, SCI DCA 25, TADA, Syndic, representee par SARL IMODEV, SCI MAVI, SA HLM LA CITE JARDINS]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7
DENOMINATION_D,"""[URBA 172, SCI LAUDOV, TERRE DE VIE, SEMCODA - M. LEVY Gerard, SCI MAVI, SCI ELOFAB, LES TERRASSES D ANNA, SARL SEA BEGGAR, SCI MILAN, IMMOFREDOM CUIR]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7
SIRET_D,"""[52205832000014, 30549285200010, 44982834200047, 82907882300012, 33548067900109, 490207610, 34197709800019, 53146833800011, 830820874RCS, 43431783000017]""",siret,,03c24270-75ac-4a06-9648-44b6b5a5e0f7
ADR_NUM_D,"""[360, 171, 25 B, 62bIS, 50, B2, 194, 94, 52, 319]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7
ADR_TYPEVOIE_D,"""[Quart, -14, BD, Ch, IMP, RUELL, Allee, 12, route, squar]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7
ADR_LIBELLEVOIE_D,"""[de la Baignarderie, rue Amedee Gordini, du  Forum, 1 les allees du trocadero, Marcou, 1  CHEMIN DE LA MARE GOFFI, Rue du Stade, MARTIN LUTHER KING, DU STAND, ALLEE DU SUCQUET]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7
ADR_LIEUDIT_D,"""[Les Jardins d'Ortale, Batiment Equinoxes, BP 079, Immeuble Le Spazio, KERAUDRENIC, ROSSETTES, BP 7208, BP 28538 - CEDEX 6, PARC VALMY, MAS DU CLOS CHIAVARY]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7
ADR_BP_D,"""[CS663, 7, CS 40, ORLEA, 10223, 102, 307, 25, 90205, 29]""",,code_commune_insee,03c24270-75ac-4a06-9648-44b6b5a5e0f7
ADR_CP_D,"""[22360, 78113, 57220, 26160, 38024, 75002, 45140, 80144, 31450, 24660]""",code_postal,,03c24270-75ac-4a06-9648-44b6b5a5e0f7
ADR_LOCALITE_D,"""[Perols, REMIRE, RENNES, PEROLS, CERCY LA TOUR, USSAC, Boulogne-sur-Mer, RUEIL MALMAISON, BEAUMONT SUR OISE, LE ROURET]""",commune,commune,03c24270-75ac-4a06-9648-44b6b5a5e0f7
ADR_CEDEX_D,"""[04, 14, Cedex, 13, 07, CX, 2, 903, 22710, 9]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7
ADR_PAYS_D,"""[132, 137, 100, 309]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7
ADR_NUM_T,"""[50/54, 202 -, 0062, 50, 94, 194, 52, 85/87, 7bis-, 405 F]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7
ADR_TYPEVOIE_T,"""[CHE, Squar, CHS, BD, Ch, IMP, D , Allee, route, avenu]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7
