columns,sample,human_detected,csv_detected,id,,,,,,,,,,,,,,,,,,,,,,adresse
REG,"""[32, 1, 2, 3, 4, 6, 75, 44, 76, 11]""",code_region,code_region,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,booleen
DEP,"""[42, 17, 50, 51, 94, 33, 52, 92, 48, 05]""",code_departement,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,code_commune_insee
COMM,"""[53014, 84072, 17323, 33243, 23193, 35288, 83034, 38239, 76108, 31037]""",code_commune_insee,code_commune_insee,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,code_departement
ANNEE_DEPOT,"""[2016, 2017, 2018, 2010, 2012, 2014, 2015]""",year,year,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,code_postal
ID_PC,"""[03419818M0018, 0282291800012, 07405318B0008, 0955001800022, 05626017Y0356, 05772218M0001, 03105618C0016, 05314017K1028, 00108418D0006, 03103318G0037]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,code_region
CAT_MOA,"""[32, 41, 10, 43, 42, 80, 20, 21, 22, 90]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,commune
TYPE_MOA,"""[2]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,date
RS_D,"""[SCI FLOBERT, Com d Agglo Saint-Dizier Der B, SCI LOUMA, Societe Civile Immobiliere, SCI DCA 25, TADA, Syndic, representee par SARL IMODEV, SCI MAVI, SA HLM LA CITE JARDINS]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,datetime_iso
DENOMINATION_D,"""[URBA 172, SCI LAUDOV, TERRE DE VIE, SEMCODA - M. LEVY Gerard, SCI MAVI, SCI ELOFAB, LES TERRASSES D ANNA, SARL SEA BEGGAR, SCI MILAN, IMMOFREDOM CUIR]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,departement
SIRET_D,"""[52205832000014, 30549285200010, 44982834200047, 82907882300012, 33548067900109, 490207610, 34197709800019, 53146833800011, 830820874RCS, 43431783000017]""",siret,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,iso_country_code
ADR_NUM_D,"""[360, 171, 25 B, 62bIS, 50, B2, 194, 94, 52, 319]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,json_geojson
ADR_TYPEVOIE_D,"""[Quart, -14, BD, Ch, IMP, RUELL, Allee, 12, route, squar]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,latitude_l93
ADR_LIBELLEVOIE_D,"""[de la Baignarderie, rue Amedee Gordini, du  Forum, 1 les allees du trocadero, Marcou, 1  CHEMIN DE LA MARE GOFFI, Rue du Stade, MARTIN LUTHER KING, DU STAND, ALLEE DU SUCQUET]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,latitude_wgs
ADR_LIEUDIT_D,"""[Les Jardins d'Ortale, Batiment Equinoxes, BP 079, Immeuble Le Spazio, KERAUDRENIC, ROSSETTES, BP 7208, BP 28538 - CEDEX 6, PARC VALMY, MAS DU CLOS CHIAVARY]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,latitude_wgs_fr_metropole
ADR_BP_D,"""[CS663, 7, CS 40, ORLEA, 10223, 102, 307, 25, 90205, 29]""",,code_commune_insee,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,latlon_wgs
ADR_CP_D,"""[22360, 78113, 57220, 26160, 38024, 75002, 45140, 80144, 31450, 24660]""",code_postal,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,longitude_l93
ADR_LOCALITE_D,"""[Perols, REMIRE, RENNES, PEROLS, CERCY LA TOUR, USSAC, Boulogne-sur-Mer, RUEIL MALMAISON, BEAUMONT SUR OISE, LE ROURET]""",commune,commune,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,longitude_wgs
ADR_CEDEX_D,"""[04, 14, Cedex, 13, 07, CX, 2, 903, 22710, 9]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,longitude_wgs_fr_metropole
ADR_PAYS_D,"""[132, 137, 100, 309]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,pays
ADR_NUM_T,"""[50/54, 202 -, 0062, 50, 94, 194, 52, 85/87, 7bis-, 405 F]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,region
ADR_TYPEVOIE_T,"""[CHE, Squar, CHS, BD, Ch, IMP, D , Allee, route, avenu]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,sexe
ADR_LIBELLEVOIE_T,"""[RUE DU RENDEZ-VOUS, Route de Dampierre, boulevard d'Aulnay, RUE BALZAC, RUE SAINT ANTOINE, 30 Route de Tramoyes, Rue du Stade, VILLA MONTGELLAZ, RUE PAUL RICHET, Lotissement POINTE SAVANE]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,siren
ADR_LIEUDIT_T,"""[lotissement 'clos des lucioles', Lot n_ B, KERAUDRENIC, LADY, ROSSETTES, Pietra, CLOS L EMPISSEUR, Le Sabbatel, 107 RUE CAMILLE DESMOULINS, La Fraicheur]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,url
ADR_BP_T,"""[700.0]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,year
ADR_CP_T,"""[22360, 57220, 69780, 62910, 57660, 52410, 13080, 13450, 45140, 31450]""",code_postal,code_postal,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,siret
ADR_LOCALITE_T,"""[Perols, CASTERA-VERDUZAN, SAINT-POL-DE-LEON, LE CHESNAY, RENNES, Fleurey-les-Faverney, Magny-Montarlot, Lognes, PLOUNEOUR-BRIGNOGAN-PLAGES, ARON]""",commune,commune,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
ADR_CEDEX_T,"""[3.0]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
CADASTRE1,"""[0278ZI, 1112AD, 1467HY, 1601E, 160Y, 307IN, 0556AZ, 0073C, 3063, 88HV]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
CADASTRE2,"""[592HX, 270B, 62C, 368AC, 1546AO, 112AI, 298AR, 106AD, 0158AT, 136]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
CADASTRE3,"""[03740B, 2191B, 8001, 220AK, 03340B, 0973AD, 0347ER, 0162AL, 336CI, 2131B]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
TYPE_EVT,"""[1, 2, 3]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
SUPERFICIE_T,"""[0, 1, 57348, 6, 8200, 20, 8220, 29, 30, 34]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
LOTISSEMENT,"""[0.0, 1.0]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
ZAC,"""[0.0]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
AFU,"""[0.0]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
NB_LGT_1P,"""[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
NB_LGT_2P,"""[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
NB_LGT_3P,"""[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
NB_LGT_4P,"""[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
NB_LGT_5P,"""[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
NB_LGT_6P,"""[0, 1, 2, 3, 4, 5, 7, 9, 11]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
NB_LGT_DEMOLIS,"""[0, 1, 2, 3, 4, 5, 6, 7, 9, 15]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
NB_LGT_IND_CREES,"""[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
NB_LGT_COL_CREES,"""[0, 2, 3, 4, 5, 6, 7, 8, 9, 10]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
NB_LGT_TOT_CREES,"""[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
NB_NIV_MAX,"""[1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
NATURE_PROJET,"""[1.0, 2.0]""",,,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_EXTENSION,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_SURELEVATION,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_NIVSUPP,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_PISCINE,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_GARAGE,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_VERANDA,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_ABRIJARDIN,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_AUTREANNEXE,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_RESIDPRINC,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_RESIDSEC,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_PERSONNELLE,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_VENTE,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
I_LOCATION,"""[0, 1]""",booleen,booleen,03c24270-75ac-4a06-9648-44b6b5a5e0f7,,,,,,,,,,,,,,,,,,,,,,
