columns,sample,human_detected,csv_detected,id
COMMUNE,,commune,commune,7b7a9053-9495-4a79-b5c0-0fd166e81a45
Commune,,commune,commune,024c20cb-8ff7-47f8-8841-99efbfdd7d2e
Commune brute,,commune,commune,d1899e5c-37ae-4f99-87df-6d85c170ddf1
Numéro de la commune,,O,commune,1ca66bc4-9808-4fd3-b707-f514d5eb3a5a
Nom de la commune,,commune,commune,1ca66bc4-9808-4fd3-b707-f514d5eb3a5a
nom_commune,,commune,commune,e54ebe3e-92fb-4d19-a7b2-41c626e3ed73
pointgeo_commune,,O,commune,e54ebe3e-92fb-4d19-a7b2-41c626e3ed73
commune,,commune,commune,de0bcd29-531d-49e5-9ce4-2eb7205d04e1
COMMUNE,,commune,commune,7b8481ee-c7d9-47e1-9fc8-ef06839e71ab
COMMUNE,,commune,commune,743090ac-4b72-4218-b201-ffd996e46844
Commune,,commune,commune,5e98bf82-d21c-41e5-9715-fe9811d5ac4a
Commune,,commune,commune,7618605c-d525-4311-ac63-40141a0fe4fa
Commune,,commune,commune,896f2835-7b9f-4a7a-86e5-6f0a8beb6490
COMMUNE,,commune,commune,fced1fa6-3abe-4ea4-adbb-f00a1c45b94d
Commune,,commune,commune,d7e1861b-ac96-4125-aca7-3bdcffa780b8
Commune,,commune,commune,69e3f577-0384-4488-9305-5f05534b0dd1
Commune,,commune,commune,b02fc410-5080-4b1b-93ba-4e3193a70460
Commune,,commune,commune,21a61426-a477-4657-92e5-884a6a14fb29
COMMUNE,,commune,commune,0bdd4c3d-5373-4430-bd14-ba073649e87d
commune,,commune,commune,aeb0c6a6-accb-4ba8-8145-92c999028b0e
commune,,commune,commune,f760fe08-6160-4463-aba1-c011a3afb9ac
COMMUNE,,commune,commune,1bcae0b9-9695-4328-8552-d0364eff50e0
Commune,,commune,commune,6496f90e-c6ce-4d66-b1a2-b5eab7b286a1
COMMUNE,,commune,commune,79475f05-855d-407a-9813-720f7fc9eab7
COMMUNE,,commune,commune,4eeec050-d80f-4464-be0f-4cbc9a7f99bf
Commune,,commune,commune,0a0b2431-d5f2-4c0d-9c71-b1356304e972
M_Commune,,commune,commune,0a0b2431-d5f2-4c0d-9c71-b1356304e972
Décès Commune Brocas,,O,commune,774306eb-8105-479f-b3d0-9a00112f1336
commune,,commune,commune,344a19ea-0eec-46e8-aaeb-6f8d53ade88b
libelle_commune,,commune,commune,bfe94593-b92c-4cb7-8d54-c301b42c0c7a
nom_commune,,commune,commune,bfe94593-b92c-4cb7-8d54-c301b42c0c7a
commune,,commune,commune,138c6b5f-495d-4a4b-862d-aa46856bbcd4
Commune,,commune,commune,8180b697-2646-4261-a4fa-54d1e2132a2f
commune,,commune,commune,0cb383ac-e8fc-4aa7-a946-81e7b8d08657
Nom_commune,,commune,commune,705f490c-1790-4467-9374-8097b316a986
Commune,,commune,commune,e1cebe51-f588-4e87-b708-0a264580bfba
Commune,,commune,commune,a54d885d-83dc-4743-b130-0c8900517144
COMMUNE,,commune,commune,96bcfa38-277b-4d97-b08b-e3f6a7dc61c5
Commune,,commune,commune,34d7fa44-e772-437e-87ea-b32a1f5b34f0
Commune,,commune,commune,3a8a8a9f-dfb5-4924-833f-d7656215e691
M_Commune,,commune,commune,3a8a8a9f-dfb5-4924-833f-d7656215e691
COMMUNE,,commune,commune,4b6535f9-c562-43cc-b142-7a7750397101
nom_commune,,commune,commune,a65c8c88-d121-434f-a0fa-c6cdcf740b7d
pointgeo_commune,,O,commune,a65c8c88-d121-434f-a0fa-c6cdcf740b7d
LIB_COMMUNE,,commune,commune,e81d8c30-950d-4bb6-8e9e-0b0990c8eddb
TYPE_COMMUNE,,O,commune,e81d8c30-950d-4bb6-8e9e-0b0990c8eddb
Commune,,commune,commune,39b72843-2a5b-4087-bd13-4abdb0898059
Nom_commune,,commune,commune,678ca756-0d8a-45a2-bf3c-57f3ccb47b78
Commune,,commune,commune,0cf70980-c632-4b77-90bc-980e2815bff2
Commune,,commune,commune,dd0b79f2-ac41-469e-b327-e8738549be4e
Commune,,commune,commune,5fff3a95-f90b-4060-9842-8a8a5047cdeb
Numéro de la commune,,O,commune,c6272c1e-a5ba-4c6d-b538-5a8987790e74
Nom de la commune,,commune,commune,c6272c1e-a5ba-4c6d-b538-5a8987790e74
libelle_commune,,commune,commune,30cfc7e4-8a07-49c0-a98f-aed6926ea859
nom_commune,,commune,commune,30cfc7e4-8a07-49c0-a98f-aed6926ea859
commune,,commune,commune,6d03f6e7-0936-4328-ae11-c266be8944b5
Commune,,commune,commune,74a25bf3-9a25-40be-abbc-9bfef0b8addb
Commune,,commune,commune,dad5a198-0679-4551-bdce-f89390ff2874
Commune de Brocas,,O,commune,3ac6fc84-b2de-4cca-aaca-485149a1ded8
